timestamp,open,high,low,close,volume,Stock Code,{
2023-09-11,59.0,59.48,56.9252,57.58,182424.0,AIA,
2023-08-31,62.78,62.82,56.0035,58.04,689316.0,AIA,
2023-07-31,60.63,63.5,58.1,63.33,836104.0,AIA,
2023-06-30,57.87,63.21,57.79,59.59,2079042.0,AIA,
2023-05-31,58.45,59.94,56.98,57.87,897012.0,AIA,
2023-04-28,61.58,61.76,56.91,58.71,1034195.0,AIA,
2023-03-31,60.58,62.25,56.39,61.89,1103167.0,AIA,
2023-02-28,65.54,66.62,58.053,58.35,5800108.0,AIA,
2023-01-31,57.82,67.4999,57.64,64.85,2158434.0,AIA,
2022-12-30,58.39,59.48,56.22,56.74,1358947.0,AIA,
2022-11-30,47.73,58.4106,46.25,58.2,973135.0,AIA,
2022-10-31,50.0,53.12,44.42,45.82,1843871.0,AIA,
2022-09-30,58.25,58.38,49.92,49.92,2135151.0,AIA,
2022-08-31,59.37,61.58,57.82,59.2,5737742.0,AIA,
2022-07-29,61.86,63.1199,59.42,60.31,1324944.0,AIA,
2022-06-30,65.99,68.01,61.57,62.74,1724619.0,AIA,
2022-05-31,64.17,66.49,59.03,65.63,3404709.0,AIA,
2022-04-29,70.14,71.26,61.37,64.42,1391448.0,AIA,
2022-03-31,72.1,72.57,60.795,68.63,2210754.0,AIA,
2022-02-28,77.53,79.2054,70.01,72.38,1657826.0,AIA,
2022-01-31,76.63,80.695,73.18,77.4,2008615.0,AIA,
2021-12-31,78.34,79.5,73.906,76.56,2065343.0,AIA,
2021-11-30,79.89,82.49,75.97,76.51,1293833.0,AIA,
2021-10-29,78.11,83.27,75.5224,80.01,3060671.0,AIA,
2021-09-30,83.95,85.725,76.997,78.2,2181285.0,AIA,
2021-08-31,84.26,85.645,77.85,83.1,2963421.0,AIA,
2021-07-30,91.31,91.45,80.31,83.95,3146771.0,AIA,
2021-06-30,93.76,93.76,88.635,91.65,3496892.0,AIA,
2021-05-28,92.35,93.035,86.03,91.31,3809978.0,AIA,
2021-04-30,93.99,95.13,91.68,92.21,7597080.0,AIA,
2021-03-31,96.58,97.6,89.02,92.18,9869652.0,AIA,
2021-02-26,96.02,102.5,93.9,94.73,6069537.0,AIA,
2021-01-29,89.33,101.09,88.2386,93.67,7613710.0,AIA,
2020-12-31,82.7,87.64,82.38,87.17,4341008.0,AIA,
2020-11-30,75.3,84.1635,74.96,81.71,4598119.0,AIA,
2020-10-30,72.51,76.07,71.51,74.26,2470349.0,AIA,
2020-09-30,72.64,74.175,69.25,71.82,6561988.0,AIA,
2020-08-31,69.81,73.75,69.79,72.0,2284851.0,AIA,
2020-07-31,65.27,71.26,65.25,69.57,1929668.0,AIA,
2020-06-30,59.93,65.87,59.93,64.9,2773515.0,AIA,
2020-05-29,58.37,61.05,57.38,59.4,2274318.0,AIA,
2020-04-30,54.61,60.79,53.61,59.43,2321553.0,AIA,
2020-03-31,61.82,63.59,46.01,55.71,3182054.0,AIA,
2020-02-28,63.14,67.37,60.04,61.9,1319345.0,AIA,
2020-01-31,66.65,69.35,62.05,62.15,2877624.0,AIA,
2019-12-31,61.56,66.45,60.5,66.0,729239.0,AIA,
2019-11-29,61.98,64.34,61.41,61.55,508965.0,AIA,
2019-10-31,58.86,61.75,57.8,61.15,837164.0,AIA,
2019-09-30,56.2,60.72,56.13,58.63,474919.0,AIA,
2019-08-30,59.85,60.27,54.66,56.59,978601.0,AIA,
2019-07-31,62.26,62.5,59.27,59.69,716300.0,AIA,
